x,y
0.2574096913144966,3.144593577030371
0.5134253358299447,3.927781400273326
0.768061992063753,4.619491158366578
1.0213344754177338,5.219651707394774
1.273257363390379,5.728193045860019
1.5238450006500497,6.145046290320299
1.7731115039735128,6.470143651674511
2.021070767054092,6.7034184120736
2.26773646518355,6.8448049024380575
2.51312205981166,6.89423848056274
2.757240802987287,6.851655509790703
3.0001057416846533,6.716993338238348
3.241729722018345,6.490190278554886
3.482125393350464,6.171185588199679
3.7213052122932364,5.759919450221625
3.9592814466102464,5.256332954525332
4.196066179019374,4.660368079609325
4.431671310900386,3.971967674762102
4.666108565910047,3.191075442702294
4.8993894935074955,2.317635922649713
5.131525472392557,1.3515944738144916
5.362527713859559,0.2928972592919814
5.5924072650691325,-0.8585087696485045
